Month,Forecasted_Passengers
1961-01-01,443.92814107260944
1961-02-01,418.9446789598946
1961-03-01,455.5214874381614
1961-04-01,505.87229417628396
1961-05-01,528.8169181411718
1961-06-01,608.9085923241787
1961-07-01,713.546532263197
1961-08-01,697.977617521728
1961-09-01,585.7492458550186
1961-10-01,531.9840490804993
1961-11-01,452.10468860781583
1961-12-01,504.6054617077661
1962-01-01,522.1833839682527
1962-02-01,495.2699048427863
1962-03-01,539.9046044246734
1962-04-01,599.7280509078607
1962-05-01,624.4496558733462
1962-06-01,716.0938729109891
1962-07-01,835.8531357901458
1962-08-01,815.493926584519
1962-09-01,683.0720834780369
1962-10-01,615.782052573399
1962-11-01,515.258834671373
1962-12-01,566.0191437618788
