relative_path,size_bytes,category
.gitignore,163,project_root
DELIVERY_SUMMARY.md,916,project_root
Dockerfile,262,project_root
IMPROVEMENTS.md,1484,project_root
LICENSE,455,project_root
MONOREPO_INTEGRATION.md,420,project_root
PROJECT_AUDIT.md,1332,project_root
README.md,15940,project_root
README_HOSTING.md,1216,project_root
app/__init__.py,0,app
app/requirements.txt,59,app
app/streamlit_app.py,9607,app
archive/original-project-files/Conversational_AI_Chatbot_Seq2Seq_Attention_FULL_ELITE.ipynb,262154,archive
archive/original-project-files/decoder_chatbot.keras,693856,archive
archive/original-project-files/encoder_chatbot.keras,569408,archive
archive/original-project-files/seq2seq_chatbot.keras,3662172,archive
archive/original-project-files/tokenizer_meta.json,121,archive
data/README_data.md,1285,data
data/sample_conversations.csv,981,data
data/sample_prompts.json,455,data
images/README.md,225,images
models/decoder_chatbot.keras,693856,models
models/encoder_chatbot.keras,569408,models
models/model_metadata.json,1945,models
models/seq2seq_attention_weights.npz,1115753,models
models/seq2seq_chatbot.keras,3662172,models
models/source_tokenizer.json,1633,models
models/target_tokenizer.json,2991,models
models/tokenizer_meta.json,351,models
notebooks/conversational_chatbot_seq2seq_attention.ipynb,6144,notebooks
outputs/attention_visualization.png,53870,outputs
outputs/baseline_comparison.csv,273,outputs
outputs/baseline_comparison.png,64005,outputs
outputs/input_length_distribution.png,34016,outputs
outputs/model_metrics.json,1017,outputs
outputs/model_summary.txt,8860,outputs
outputs/response_length_comparison.png,54676,outputs
outputs/response_quality_examples.md,903,outputs
outputs/sample_chat_responses.csv,3566,outputs
outputs/target_length_distribution.png,36978,outputs
outputs/token_accuracy_curve.png,58708,outputs
outputs/training_curve.png,68928,outputs
outputs/training_history.csv,353,outputs
requirements-dev.txt,40,project_root
requirements.txt,148,project_root
run_local.bat,233,project_root
run_local.sh,257,project_root
scripts/validate_project.py,2494,scripts
src/__init__.py,65,src
src/attention_layer.py,616,src
src/chatbot_inference.py,3125,src
src/cloud_inference.py,5504,src
src/config.py,1181,src
src/data_preprocessing.py,2432,src
src/model_evaluation.py,1607,src
src/model_training.py,6485,src
src/retrieval_baseline.py,949,src
src/sequence_generation.py,726,src
src/text_preprocessing.py,752,src
src/tokenizer_utils.py,837,src
src/visualization.py,1968,src
tests/conftest.py,202,tests
tests/test_inference.py,1158,tests
tests/test_text_and_data.py,791,tests
train_model.py,795,project_root
