signal_id,label,anomaly_type,sample_000,sample_001,sample_002,sample_003,sample_004,sample_005,sample_006,sample_007,sample_008,sample_009,sample_010,sample_011,sample_012,sample_013,sample_014,sample_015,sample_016,sample_017,sample_018,sample_019,sample_020,sample_021,sample_022,sample_023,sample_024,sample_025,sample_026,sample_027,sample_028,sample_029,sample_030,sample_031,sample_032,sample_033,sample_034,sample_035,sample_036,sample_037,sample_038,sample_039,sample_040,sample_041,sample_042,sample_043,sample_044,sample_045,sample_046,sample_047,sample_048,sample_049,sample_050,sample_051,sample_052,sample_053,sample_054,sample_055,sample_056,sample_057,sample_058,sample_059,sample_060,sample_061,sample_062,sample_063,sample_064,sample_065,sample_066,sample_067,sample_068,sample_069,sample_070,sample_071,sample_072,sample_073,sample_074,sample_075,sample_076,sample_077,sample_078,sample_079,sample_080,sample_081,sample_082,sample_083,sample_084,sample_085,sample_086,sample_087,sample_088,sample_089,sample_090,sample_091,sample_092,sample_093,sample_094,sample_095,sample_096,sample_097,sample_098,sample_099,sample_100,sample_101,sample_102,sample_103,sample_104,sample_105,sample_106,sample_107,sample_108,sample_109,sample_110,sample_111,sample_112,sample_113,sample_114,sample_115,sample_116,sample_117,sample_118,sample_119,sample_120,sample_121,sample_122,sample_123,sample_124,sample_125,sample_126,sample_127,sample_128,sample_129,sample_130,sample_131,sample_132,sample_133,sample_134,sample_135,sample_136,sample_137,sample_138,sample_139
ECG_0000,0,normal,0.009141804,0.0024154074,0.08803396,0.122311726,0.059355408,0.0966238,0.15044034,0.14060634,0.1454998,0.10899882,0.1428925,0.116142154,0.066858895,0.06823148,0.017370999,-0.052029915,-0.041195776,-0.10141076,-0.059258386,-0.09125556,-0.08977457,-0.08928032,-0.0075410977,-0.016311808,0.013893074,0.057948746,0.12682942,0.16201265,0.19903591,0.22869347,0.30137855,0.23793158,0.23935115,0.22690037,0.2590672,0.25722596,0.19705975,0.14760682,0.11649072,0.12614988,0.092329666,0.048834797,-0.024575932,-0.03313308,-0.06906448,-0.09413501,-0.097153425,-0.13266893,-0.12785089,-0.14738837,-0.13419586,-0.10972335,-0.15039594,-0.08535109,-0.046251062,0.013361747,0.12407603,0.32972103,0.47722486,0.81167054,1.0387127,1.3504881,1.5300239,1.5512375,1.4048129,1.143969,0.8040474,0.51714814,0.3326019,0.14357574,0.008263716,-0.05301984,-0.089468755,-0.07594765,-0.10570786,-0.09976593,-0.1352477,-0.11089844,-0.08139329,-0.08557363,-0.031063126,-0.02650553,0.025796676,0.072170205,0.096488744,0.19564281,0.21366726,0.2710874,0.32271385,0.35249114,0.38199964,0.3734342,0.36910382,0.3759453,0.31582367,0.30353448,0.28132185,0.26011503,0.26765144,0.1924527,0.17232797,0.18850349,0.1080424,0.1147334,0.044180766,0.051996075,0.022324607,0.03993512,0.08074982,0.014497913,0.09435737,0.10634553,0.1006524,0.09415364,0.15699026,0.15300784,0.18544437,0.18318506,0.22844645,0.16453347,0.12582181,0.14061756,0.11521343,0.11850007,0.068956785,0.01937388,0.017538864,-0.09520182,-0.108487494,-0.1420039,-0.14477411,-0.1863124,-0.13038556,-0.15284003,-0.17952764,-0.14816476,-0.08456452,-0.040294528,0.026340676,0.08745043
ECG_0001,0,normal,0.012432574,0.003928787,0.0015590386,0.10212613,0.09349823,0.12322847,0.12824221,0.1458699,0.17798324,0.1393016,0.111751504,0.061738785,0.014637487,0.019825004,0.0017322428,0.026786758,-0.048350066,-0.043162096,-0.100590765,-0.1253061,-0.1131822,-0.090609215,0.019636754,-0.036317524,0.051897585,0.041424938,0.13880733,0.16259786,0.1819548,0.21454597,0.21748549,0.26350617,0.24106893,0.21454537,0.2022497,0.22853445,0.24785091,0.17761126,0.137666,0.115206875,0.10921209,0.039121643,-0.016938457,-0.006909256,-0.059702363,-0.05462299,-0.11779925,-0.17611086,-0.18926308,-0.0998879,-0.09115948,-0.13404758,-0.11817689,-0.031917624,-0.065351255,0.0056862724,0.1516301,0.27303463,0.50304615,0.7777189,1.0993261,1.4027591,1.527859,1.5529689,1.321971,1.1187071,0.7892122,0.49445426,0.28051805,0.13929117,0.07401138,-0.058813006,-0.060966242,-0.10538755,-0.11981083,-0.09039775,-0.10628666,-0.07553269,-0.104796164,-0.097171515,-0.05148215,0.00062715233,0.041985493,0.051090695,0.13507862,0.18788049,0.30327353,0.32701793,0.28269416,0.3304737,0.31813484,0.35866755,0.3912709,0.41451246,0.3445712,0.32732347,0.25658417,0.28515247,0.22378579,0.20373388,0.15736702,0.14669877,0.065998465,0.048596576,0.1360667,0.019536525,0.017921701,0.105213515,0.14269258,0.031170527,0.07027719,0.10946013,0.17033783,0.10792966,0.14746805,0.19221273,0.19150707,0.17124481,0.1763784,0.13046725,0.14938152,0.12724768,0.11557862,0.061064627,0.058049604,0.039049223,-0.021697342,-0.048986237,-0.087700285,-0.11420409,-0.15472656,-0.13551699,-0.1523587,-0.08337831,-0.088202804,-0.106121995,-0.11686166,-0.098810665,0.0021730387,0.007917032
ECG_0002,0,normal,0.014404594,-0.01872265,0.09334358,0.10772739,0.084573545,0.121543445,0.15451664,0.15166762,0.1372387,0.13148549,0.108951226,0.09738527,0.10902274,-0.04258551,-0.0037597886,-0.020955767,-0.04337848,-0.08380172,-0.13831355,-0.07991792,-0.032408193,-0.114868276,-0.018302498,-0.021531679,0.024903178,0.036925796,0.10082646,0.19005068,0.20413359,0.2677382,0.2724515,0.26329663,0.30703646,0.26448333,0.26542747,0.21445967,0.20247455,0.1518888,0.17091268,0.07128298,0.09350255,0.026820635,0.030526772,-0.017571848,-0.017945671,-0.078772426,-0.1704575,-0.14138539,-0.18337852,-0.16496414,-0.0975326,-0.109535985,-0.12764919,-0.10617247,-0.03115642,-0.0039687217,0.112196095,0.29423308,0.53785914,0.800885,1.0204602,1.3696656,1.5273024,1.5460675,1.4319625,1.0582715,0.79677606,0.5487459,0.2594148,0.19359334,0.057585005,0.006376297,-0.0790135,-0.06644956,-0.07792649,-0.11349415,-0.1153981,-0.10754434,-0.12606135,-0.0807191,-0.04934206,0.0048540644,0.06668302,0.051866256,0.12861367,0.22547731,0.20544167,0.2460451,0.31436065,0.36442676,0.36238086,0.4162576,0.4075066,0.40359142,0.38306722,0.41677746,0.31484798,0.22992676,0.30378583,0.20588608,0.18690926,0.18881316,0.07066253,0.055058517,0.024150958,0.034335114,0.06401437,0.06583175,0.063828796,0.023934549,0.0120215565,0.10084407,0.10432361,0.15131696,0.17588499,0.17303985,0.20126808,0.18940583,0.19629504,0.15057394,0.1511384,0.14114258,0.13322937,0.06591221,0.05953847,0.00069258444,-0.029886488,-0.03465336,-0.14908676,-0.15310079,-0.17754538,-0.2150203,-0.16978803,-0.12369034,-0.14394997,-0.111763686,-0.061293412,-0.02560774,-0.03563539,0.04064213
ECG_0003,0,normal,0.0027640914,0.008492984,0.047688417,0.04967869,0.09124245,0.12494869,0.17071266,0.20171672,0.10453838,0.14637496,0.08529423,0.10704931,0.060945377,-0.020512933,0.03119463,-0.04440116,-0.06827531,-0.10473686,-0.1052404,-0.076921076,-0.08990603,-0.058992572,-0.033359684,0.027943926,0.016459323,0.024207016,0.14287682,0.14110468,0.2200917,0.22727016,0.23319499,0.2605873,0.3132488,0.31362295,0.24266927,0.22816253,0.23276538,0.14744169,0.15121727,0.1058562,0.07944929,0.0075391033,-0.052297667,-0.10228742,-0.10608658,-0.11445592,-0.13209203,-0.08125986,-0.11503849,-0.17827848,-0.1324382,-0.14087434,-0.11521219,-0.07020118,-0.01356475,0.022350328,0.16424584,0.25061464,0.50338995,0.86055243,1.0958912,1.4035311,1.527887,1.551074,1.3817726,1.1150564,0.79112464,0.5439277,0.28131652,0.16928242,0.07909291,-0.00802528,-0.07047265,-0.07724351,-0.11924083,-0.09241407,-0.1773723,-0.12572286,-0.15988536,-0.12114506,-0.0038505164,0.020207798,0.015103884,0.038547236,0.04342807,0.16472878,0.30036178,0.28375912,0.2915043,0.3530476,0.31520936,0.36746907,0.38478708,0.37575382,0.3901679,0.35728723,0.34105262,0.26938125,0.28259268,0.2684852,0.15456836,0.12289577,0.15880385,0.086867616,0.11430394,0.044883132,0.09447664,0.054050688,0.06328744,0.11325907,0.07047155,0.0709798,0.105019964,0.15110539,0.10785361,0.18801674,0.16230094,0.21696387,0.108565286,0.14811715,0.10593269,0.11045241,0.11604351,0.07234764,0.036302123,0.0038922022,-0.020258576,-0.08979501,-0.068089455,-0.094326645,-0.12152868,-0.12831582,-0.14054756,-0.085121155,-0.13801628,-0.12690988,-0.11657576,-0.09640621,-0.0708954,-0.026629364
ECG_0004,0,normal,-0.00212012,0.043643784,0.06705469,0.071128726,0.144892,0.15787157,0.14181566,0.13050613,0.16245666,0.14022934,0.073066734,0.090768985,0.07273905,0.0074233986,0.009041022,-0.06989581,-0.012172718,-0.03520578,-0.093187414,-0.07885416,-0.15652636,-0.103542864,-0.053030707,-0.043839913,0.048174802,0.12843165,0.075561695,0.12592544,0.19371739,0.26410234,0.2004579,0.2575951,0.3093574,0.20176077,0.20215575,0.21064861,0.18486053,0.19718955,0.14847495,0.053383227,0.085494354,0.015214001,0.033622775,-0.058925543,-0.09166352,-0.08446172,-0.100408494,-0.12593381,-0.19878621,-0.1332747,-0.1738987,-0.12160372,-0.1493933,-0.062371287,-0.05633785,-0.0059509566,0.1537449,0.29212213,0.4847805,0.82615757,1.0759794,1.3614979,1.5332087,1.5150608,1.3976103,1.1041651,0.80215997,0.5718979,0.27564505,0.07693146,0.09486242,0.057458617,-0.07404327,-0.14896761,-0.11929515,-0.12906718,-0.12812784,-0.14905627,-0.08277416,-0.060558014,-0.08959855,0.014328151,0.09826884,0.08878115,0.12224418,0.17677355,0.24620703,0.21879244,0.31322318,0.32738128,0.41747284,0.37116358,0.4318394,0.34522462,0.3840615,0.35652986,0.2949314,0.2953543,0.2920338,0.20990331,0.13291396,0.14899977,0.09165762,0.08233771,0.06974167,0.006989635,0.002355519,0.06456812,0.039859008,-0.0106248045,0.104869984,0.107384555,0.09706065,0.09803047,0.17990062,0.17937313,0.24994215,0.19513515,0.19202419,0.1667063,0.18103,0.15399185,0.14616528,0.062084753,0.030841226,-0.005705347,-0.0026361714,-0.014587697,-0.10306016,-0.12694983,-0.1236575,-0.15238467,-0.12087848,-0.21372667,-0.1602046,-0.14116988,-0.16358061,-0.09434748,-0.061015934,-0.005998585
ECG_0005,0,normal,0.033389267,0.02626311,0.034596015,0.09238615,0.14936167,0.10641042,0.11928787,0.16685009,0.13935775,0.15401468,0.116101146,0.113858305,0.033825632,0.0340517,-0.0029749812,-0.06272787,-0.09916264,-0.05207181,-0.09614047,-0.12042619,-0.087114066,-0.03501187,-0.11263947,-0.056575082,-0.0009436844,0.11234812,0.119337745,0.17406885,0.1524491,0.18218276,0.25056353,0.25187224,0.2711806,0.24568342,0.24893214,0.22810037,0.2238112,0.19702177,0.092629,0.039214034,0.1000844,0.06817192,-0.035229333,-0.09589298,-0.06959401,-0.07277052,-0.06936845,-0.12388787,-0.1593698,-0.17620966,-0.14252591,-0.13763994,-0.13713332,-0.014298282,0.021415168,0.06660955,0.10470479,0.3105234,0.5223886,0.79589856,1.1266888,1.3795958,1.5473418,1.552758,1.3936999,1.0666603,0.8170178,0.5143329,0.2684674,0.19976936,0.09840416,0.021755395,-0.054228783,-0.05034372,-0.10961904,-0.11439657,-0.15523426,-0.103744894,-0.098349415,-0.1153728,-0.046302296,-0.009039639,0.09061512,0.11044874,0.1327073,0.18849726,0.2290757,0.26462516,0.27581865,0.33456364,0.33965516,0.3388793,0.39713943,0.39007476,0.3128425,0.34326732,0.3508739,0.32180914,0.2864333,0.22078446,0.15832148,0.117015675,0.12906846,0.10398634,0.11080923,0.09115859,0.04685841,0.012779935,0.045967374,0.07283446,0.07526216,0.081876636,0.12606344,0.122416645,0.13598439,0.1782362,0.1664043,0.18985263,0.18858922,0.13753127,0.1420895,0.1783726,0.073751144,0.014224809,-0.011951905,0.009541047,-0.025432704,-0.06306726,-0.052869253,-0.19439165,-0.1212018,-0.09816868,-0.18327351,-0.15756755,-0.15799022,-0.14452778,-0.1037578,-0.022613766,0.02156035,-0.010043622
ECG_0006,0,normal,0.057152096,0.034682225,0.11813116,0.09129583,0.1218182,0.14665343,0.24197073,0.1756322,0.12478589,0.16366008,0.10565557,0.07811589,0.09213602,0.03534681,0.011702997,-0.025831584,-0.042160805,-0.059895307,-0.14372091,-0.069760606,-0.11368928,-0.11212141,-0.045969676,-0.009156493,0.005937724,0.09344371,0.070594884,0.13884102,0.1691077,0.21437122,0.24549505,0.21988723,0.2764469,0.25320363,0.18382944,0.16459906,0.2001086,0.16618249,0.13812256,0.10579261,0.07679884,0.060969654,-0.037943788,-0.07525706,-0.10536477,-0.09202817,-0.085947864,-0.15231697,-0.2232693,-0.20053552,-0.16786055,-0.14539386,-0.11893293,-0.07460352,-0.041492272,0.06400827,0.11204978,0.25900325,0.5175661,0.73655295,1.1008897,1.3636112,1.5207181,1.5812991,1.36481,1.1819776,0.8077462,0.49270818,0.30896023,0.11702751,0.023981629,-0.007110223,-0.045217723,-0.109527506,-0.080358475,-0.08575526,-0.07934108,-0.09977223,-0.059258133,-0.13271719,-0.05430358,-0.03265791,0.04026507,0.06647886,0.1273792,0.2374989,0.22265773,0.28312635,0.30132338,0.3413666,0.3622186,0.3898385,0.416762,0.42775866,0.37573233,0.36463428,0.2864769,0.28739613,0.2838669,0.24559613,0.19002114,0.17611846,0.13345332,0.12861712,0.08087007,0.047488254,0.060900506,-0.03781172,0.067027144,-0.043134857,0.029620757,0.11276652,0.13280277,0.10266251,0.13346331,0.21000884,0.16394319,0.2498171,0.18033549,0.18395522,0.20503296,0.13917011,0.07854321,0.07443262,0.042835128,-0.0322745,-0.034035183,-0.08180469,-0.061564215,-0.11316826,-0.14156368,-0.14819728,-0.14274643,-0.12766893,-0.16539483,-0.14894502,-0.06082956,-0.07780843,-0.07606652,0.013348936
ECG_0007,0,normal,0.0139013855,-0.012306527,0.07240488,0.11616228,0.12911806,0.15464863,0.10447705,0.16002482,0.13692524,0.12010643,0.14262722,0.13718663,0.11870908,0.07385848,5.3693882e-05,-0.015669534,-0.029253615,-0.06900895,-0.08168897,-0.06504519,-0.08600718,-0.09073104,-0.05665153,0.0073413886,0.026832707,0.07871905,0.13096252,0.1398041,0.20934138,0.22713412,0.20008473,0.29339316,0.23969609,0.2016607,0.20923652,0.19272545,0.20204338,0.16459599,0.1311202,0.12522314,0.08022831,0.042021602,0.0076842126,-0.021613877,-0.13580365,-0.111628816,-0.18870258,-0.138295,-0.14835729,-0.11804977,-0.10724042,-0.12257875,-0.121692106,-0.061206117,-0.04797741,0.032486305,0.1619144,0.26813966,0.52737015,0.80294424,1.0605551,1.3897514,1.5460984,1.5367085,1.3606064,1.0943924,0.79837924,0.5472965,0.2781939,0.16244024,0.009281639,-0.02514328,-0.058595754,-0.017508568,-0.1513001,-0.07632005,-0.11793485,-0.10331948,-0.09661056,-0.06295143,-0.049376935,0.036973756,0.022994157,0.11758938,0.11303292,0.17922609,0.19559045,0.2843633,0.35164523,0.3367745,0.35613152,0.34295025,0.37492397,0.330553,0.3390574,0.35375145,0.36057323,0.37430876,0.23806067,0.26267606,0.19098543,0.1449892,0.13170815,0.09446543,0.07550117,0.045909207,0.00888198,0.0037973558,0.07513791,0.058016524,0.06344199,0.09946863,0.14232486,0.1429463,0.13514473,0.2056814,0.22583966,0.1973662,0.209603,0.20897293,0.19042972,0.15366226,0.12656394,0.09331426,0.01098332,0.029689442,-0.06703464,-0.083376914,-0.050187994,-0.08900002,-0.08845787,-0.15316205,-0.18400756,-0.15338647,-0.13234252,-0.11532773,-0.059959523,-0.07627644,-0.023000216,-0.02962426
ECG_0008,0,normal,0.01350981,0.03370819,0.043026026,0.087019905,0.11236119,0.12758453,0.19974536,0.14714023,0.13868694,0.071666606,0.08968433,0.0849162,0.044302396,0.07586547,-0.001602414,0.012402188,-0.05040716,-0.071527444,-0.08827579,-0.089643896,-0.03266485,-0.13844076,-0.10426371,-0.027971048,0.027178746,0.08921588,0.12505275,0.13952196,0.21722524,0.2466747,0.24265087,0.27900374,0.2628978,0.23446906,0.26152232,0.2266752,0.20051837,0.21700013,0.06769899,0.06410156,0.03441993,0.021642348,-0.012248887,-0.085317686,-0.102119796,-0.12652092,-0.049573567,-0.08532453,-0.16057079,-0.16032325,-0.17734557,-0.18590592,-0.11018768,-0.105696514,-0.0346854,-0.015478093,0.10947107,0.28933161,0.5141861,0.79514635,1.0495842,1.3861752,1.501135,1.5526365,1.383157,1.078877,0.8050232,0.54197955,0.32525158,0.14508523,0.09248767,0.011204101,-0.06958481,-0.068358816,-0.051966827,-0.06166595,-0.15927012,-0.14345063,-0.055613432,-0.10804167,-0.084442616,-0.021233575,0.049295094,0.08055044,0.11284702,0.16080727,0.2063792,0.2443273,0.37674043,0.34802052,0.38864088,0.36171645,0.37622407,0.35693023,0.28689247,0.3056076,0.2666843,0.22253892,0.21979745,0.25936574,0.18233976,0.18824355,0.1310598,0.1160847,0.045162387,0.07387773,0.072686695,0.032806695,0.07232678,0.08330316,0.06483808,0.06553041,0.08295304,0.14013055,0.16463667,0.14511684,0.17926165,0.19964561,0.19893882,0.21827054,0.19483615,0.10520055,0.15912111,0.061795145,0.075249635,0.010707347,-0.038724706,-0.11376984,-0.09444188,-0.16098812,-0.10406084,-0.09950804,-0.17334743,-0.13711423,-0.1571652,-0.13655193,-0.0707351,-0.066594474,0.018628191,-0.01443242
ECG_0009,0,normal,0.029980382,0.036537334,0.089393765,0.08068006,0.1163997,0.13222422,0.1215234,0.16995606,0.1655113,0.15239678,0.16261952,0.13628875,0.053629633,0.045605812,-0.015362301,-0.025550481,-0.07025079,-0.024042172,-0.07470095,-0.09629866,-0.048420142,-0.1339709,-0.10464042,0.012199237,0.028556962,0.07602614,0.07106826,0.15035231,0.24675922,0.24049483,0.24222033,0.23695241,0.24288124,0.18743761,0.24831705,0.2487213,0.1532096,0.152969,0.10650122,0.07767155,0.07163649,-0.029991897,0.013817472,-0.017482266,-0.08009814,-0.17511693,-0.15318885,-0.10238974,-0.23155813,-0.15984145,-0.17826948,-0.10452489,-0.12693469,-0.06364233,-0.01517607,0.08761486,0.12624204,0.29615414,0.45864812,0.81833464,1.0663836,1.343712,1.5244739,1.4867642,1.3903393,1.1491926,0.82329714,0.48335174,0.30314836,0.17157574,-0.009805358,-0.051264204,-0.03558888,-0.08275961,-0.097621486,-0.06469564,-0.108373545,-0.09591799,-0.01883863,-0.082707375,-0.06870287,0.0061861407,0.049858022,0.06782088,0.10139202,0.250329,0.23755462,0.24874403,0.33576936,0.33582085,0.35445166,0.39325693,0.3430463,0.38891566,0.42383236,0.36093318,0.30971646,0.27481928,0.24334802,0.21199818,0.17233865,0.17701599,0.066734046,0.118467934,0.0607987,0.069467634,0.017015632,0.089965045,0.09290962,0.09510524,0.035882015,0.124087095,0.13062255,0.08937724,0.15409745,0.17982864,0.19514635,0.18784733,0.18913004,0.21592247,0.19330776,0.049227644,0.09909037,0.07278491,-0.008659507,0.01149324,0.011102511,-0.092135966,-0.07920292,-0.14168133,-0.15323718,-0.100690015,-0.16571683,-0.13230698,-0.19154,-0.06182786,-0.07589036,-0.07091332,-0.016294854,-0.04226003
