time_step,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,expected_activity
0,0.009672846,1.0803281,0.009539889,0.5838959,0.22305919,0.1770761,walking_upstairs
1,0.20936833,1.0121889,0.16818005,0.48906752,0.28055516,0.1998729,walking_upstairs
2,0.57330304,0.8417861,0.26922318,0.3782817,0.24712452,0.13673235,walking_upstairs
3,0.7938957,1.0166887,0.47549108,0.5577653,0.26655278,0.27634305,walking_upstairs
4,0.72114974,0.20978948,0.39906883,0.13475843,0.15675311,0.13566482,walking_upstairs
5,0.88938546,0.48857784,0.33897984,0.20957614,0.18828866,0.1850464,walking_upstairs
6,1.243594,0.22644462,0.57001823,0.0802546,0.2541993,0.06186225,walking_upstairs
7,1.2755286,0.3986707,0.66709167,0.25483415,0.25526282,-0.06614121,walking_upstairs
8,1.162037,0.1838714,0.5082518,0.02789196,0.2707009,0.32471377,walking_upstairs
9,1.3866656,0.0369163,0.7171419,0.0038143583,0.1337603,0.22941895,walking_upstairs
10,1.0790594,-0.43185836,0.60866046,-0.1934638,0.107316256,0.21753204,walking_upstairs
11,0.63152033,-0.36139175,0.3023521,-0.17247656,0.094613016,0.07110173,walking_upstairs
12,0.6795862,-0.3878591,0.4101777,-0.14745882,0.15712242,0.015806103,walking_upstairs
13,0.36864814,-0.44566932,0.2505208,-0.30838534,0.1868868,0.12612008,walking_upstairs
14,0.6265825,-0.91605914,0.31047416,-0.45714912,0.099511474,0.15428352,walking_upstairs
15,0.28101584,-0.91288316,0.13883995,-0.44138348,0.18024041,0.20212685,walking_upstairs
16,-0.026340453,-0.7552303,-0.0041083004,-0.36093533,0.2454628,0.14590216,walking_upstairs
17,-0.70077926,-0.5262601,-0.3281449,-0.23428434,0.27405918,0.24643357,walking_upstairs
18,-0.7742477,-0.613021,-0.46499676,-0.36485386,0.14796263,0.17253867,walking_upstairs
19,-0.74017483,-0.39580852,-0.37733325,-0.12564701,0.24036792,0.16957317,walking_upstairs
20,-1.2100793,-0.88832253,-0.68870234,-0.4214591,0.09283022,0.23710236,walking_upstairs
21,-0.861663,-0.45804283,-0.44808814,-0.20098992,0.14212759,0.09223054,walking_upstairs
22,-1.1506274,-0.1755039,-0.586284,-0.11659523,0.20345181,0.17557213,walking_upstairs
23,-1.2141556,-0.06246326,-0.69794923,-0.022194127,0.14327227,0.10116552,walking_upstairs
24,-1.2092795,-0.29274496,-0.66781664,-0.07984944,0.13262907,0.09169066,walking_upstairs
25,-1.3311608,0.40265155,-0.6854849,0.2005668,0.21637942,0.26484057,walking_upstairs
26,-1.2644545,0.41539654,-0.52421,0.21746615,0.11561964,0.23164023,walking_upstairs
27,-1.2925698,0.40408796,-0.7156217,0.21787979,0.20376651,0.18759948,walking_upstairs
28,-0.7832453,0.8192475,-0.38539505,0.32797074,0.18631552,0.24880704,walking_upstairs
29,-0.5199725,0.38418823,-0.30466372,0.18346614,0.23555818,0.1749703,walking_upstairs
30,-0.41812435,0.66781795,-0.2278143,0.3685598,0.25522536,0.2523708,walking_upstairs
