time_step,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,expected_activity
0,0.7463407,-0.9526069,0.3621856,-0.51072705,0.17522015,0.08162346,walking_downstairs
1,0.8459295,-0.9912402,0.38820174,-0.5449697,0.3036587,0.25548318,walking_downstairs
2,0.66203195,-0.52421737,0.31457585,-0.26726153,0.3176533,0.2060865,walking_downstairs
3,0.85424674,-0.8661362,0.41643885,-0.45240057,0.106695265,0.21930598,walking_downstairs
4,1.0813637,-0.70850074,0.54807544,-0.34831107,0.23888329,0.33557963,walking_downstairs
5,0.98007184,-0.26372683,0.48469913,-0.18209422,0.19385535,0.1492839,walking_downstairs
6,1.0065818,-0.11972435,0.55400383,0.033224653,0.17774671,0.14801468,walking_downstairs
7,1.0275127,-0.34154233,0.6370257,-0.14465772,0.2396331,0.16098449,walking_downstairs
8,0.3164423,-0.10249076,0.19452973,-0.060265556,0.34547588,0.2648302,walking_downstairs
9,0.87354636,0.320802,0.45591262,0.12029245,0.24424402,0.22557314,walking_downstairs
10,0.09449804,0.31520304,-0.0027187176,0.10822018,0.1607797,0.07866021,walking_downstairs
11,0.25376973,0.3147834,0.09914835,0.19578305,0.14725915,0.084183976,walking_downstairs
12,0.08310181,0.5240606,-0.04360381,0.24052925,0.23808798,0.17996776,walking_downstairs
13,-0.1691085,0.66283554,-0.060829427,0.332853,0.2188512,0.19053273,walking_downstairs
14,-0.30167285,0.45087907,-0.22504605,0.24503636,0.2888006,0.18756573,walking_downstairs
15,-0.61626494,0.50159574,-0.2744192,0.22261,0.31024837,0.1939656,walking_downstairs
16,-0.8057342,0.89329743,-0.44084695,0.4583666,0.21880546,0.13473646,walking_downstairs
17,-0.8257338,0.9894195,-0.3951454,0.40075278,0.24754378,0.19933662,walking_downstairs
18,-0.8767214,0.79065776,-0.41251588,0.34612447,0.3328238,0.20156914,walking_downstairs
19,-1.09686,0.52281237,-0.6427085,0.16380976,0.30303684,0.07843876,walking_downstairs
20,-0.94239193,0.34117377,-0.5109571,0.14900334,0.12717988,0.049385175,walking_downstairs
21,-1.1431856,0.36238623,-0.5537317,0.15879373,0.08500602,0.1689528,walking_downstairs
22,-1.0419639,0.4153019,-0.49708584,0.29409915,0.09023238,0.117268525,walking_downstairs
23,-0.8913954,0.31783915,-0.405767,0.11845275,0.05896007,0.034828253,walking_downstairs
24,-0.6460947,-0.04932031,-0.3401587,-0.01884277,0.23042989,0.21195477,walking_downstairs
25,-0.63229483,-0.112540804,-0.32078496,-0.036966424,0.099127226,0.1837418,walking_downstairs
26,-0.33300835,-0.574582,-0.07727261,-0.21919832,0.25385317,0.26157665,walking_downstairs
27,0.07535567,-0.45718005,0.04764124,-0.20750837,0.13360111,0.14572358,walking_downstairs
28,-0.10351588,-0.27092144,-0.0106425285,-0.09997258,0.27557656,0.15604793,walking_downstairs
29,0.41430598,-0.63941944,0.19399248,-0.23200028,0.24966387,0.034501467,walking_downstairs
30,0.13252275,-0.588266,-0.008969854,-0.37940723,0.21165141,0.2628509,walking_downstairs
31,0.6629118,-0.5391525,0.35477787,-0.30024788,0.23507474,0.19931939,walking_downstairs
32,0.6659748,-0.5561534,0.3602623,-0.29876384,0.095585965,0.22147755,walking_downstairs
33,1.2069387,-0.66100484,0.6506211,-0.3357164,0.001049596,0.12987062,walking_downstairs
34,0.8296105,-0.7283566,0.36984158,-0.39771122,0.15364166,0.14507782,walking_downstairs
35,0.82879764,-0.94077665,0.37906682,-0.4190407,0.23275845,0.17600542,walking_downstairs
36,1.1871022,-0.66298115,0.4855144,-0.3643815,0.09248098,0.08904583,walking_downstairs
37,1.0509701,-0.3950108,0.5535242,-0.23202938,0.24901648,0.087417126,walking_downstairs
38,0.9314366,-0.0825462,0.50638425,-0.020298174,0.24453993,0.30937856,walking_downstairs
39,0.38753122,-0.03831232,0.16016923,-0.058178537,0.20611794,0.17690288,walking_downstairs
40,0.7653521,0.26956916,0.36063662,0.08031524,0.21734896,0.094160005,walking_downstairs
41,0.5193297,-0.01904385,0.24891175,-0.07679542,0.18899113,0.03539132,walking_downstairs
42,0.37709922,0.008522639,0.2680655,-0.004715623,0.20777914,0.05504265,walking_downstairs
43,0.03018037,0.55115575,0.060439512,0.3239428,0.09456794,0.17547457,walking_downstairs
44,0.20725481,0.86046857,0.16062947,0.46746284,0.28053507,0.07243118,walking_downstairs
45,-0.22749317,0.6516599,-0.12110595,0.34575075,0.22357178,0.06234433,walking_downstairs
46,-0.45765617,0.5690565,-0.25106135,0.28787798,0.23910715,0.1321861,walking_downstairs
47,-0.8663844,0.85143745,-0.37814105,0.39540845,0.13588648,0.17770949,walking_downstairs
48,-0.7710439,0.9424975,-0.4684207,0.4639511,0.076767035,0.25166818,walking_downstairs
49,-1.0529678,0.4412094,-0.50085473,0.15696464,0.29449457,0.08317834,walking_downstairs
50,-0.6971254,0.54147124,-0.41354105,0.2759971,0.077755116,0.093012236,walking_downstairs
51,-0.94870025,0.70395046,-0.43509942,0.3992857,0.16912761,0.17833748,walking_downstairs
52,-1.1134901,0.46599802,-0.53136057,0.14943008,0.18679558,0.10992073,walking_downstairs
53,-1.0091492,0.16067259,-0.5490261,0.14358303,0.21567918,0.21578284,walking_downstairs
54,-0.64868194,0.120200954,-0.31343117,-0.050261643,0.22188734,0.111309074,walking_downstairs
55,-0.78245705,-0.122182466,-0.4479471,-0.10241503,0.19422133,0.042236593,walking_downstairs
56,-0.6762348,-0.36455178,-0.39060742,-0.23868872,0.08109669,0.09162617,walking_downstairs
57,-0.17952356,-0.18105902,-0.109551094,-0.1290543,0.17363495,0.024246693,walking_downstairs
58,-0.26689976,-0.59574443,-0.17163494,-0.31835315,0.18849953,0.106078245,walking_downstairs
59,0.022295292,-0.49672017,0.060425583,-0.18857132,0.23874207,0.18700679,walking_downstairs
60,-0.0055098757,-0.7365583,0.10143319,-0.42128733,0.21481313,0.1526562,walking_downstairs
61,0.18509188,-0.5624504,0.09257978,-0.33017525,0.28661165,0.13911487,walking_downstairs
62,0.5911571,-0.7506806,0.2951734,-0.41526446,0.26305434,0.046110872,walking_downstairs
63,0.5987885,-0.7526777,0.3364589,-0.4068115,0.09364575,0.087584116,walking_downstairs
64,0.81588525,-0.9749935,0.39171088,-0.5224714,0.20117146,0.117361814,walking_downstairs
65,0.85369074,-0.62145734,0.4490679,-0.38026547,0.23115088,0.16813926,walking_downstairs
66,0.9451342,-0.68101245,0.3781516,-0.33093357,0.15523721,0.35057217,walking_downstairs
67,0.9633891,-0.66120625,0.44655448,-0.34037283,0.316739,0.0933938,walking_downstairs
68,0.75381917,-0.33856282,0.29931104,-0.12287551,0.15182683,0.22361603,walking_downstairs
69,1.1891235,-0.13064146,0.49845177,-0.0068234694,0.09247785,0.05582512,walking_downstairs
70,0.7725356,0.14041893,0.43321392,-0.010783376,0.053807136,0.06518952,walking_downstairs
71,0.55612206,0.0110204695,0.26234725,0.08094325,0.15857193,-0.009759106,walking_downstairs
72,0.6464494,0.15663975,0.40101793,0.10074726,0.15896627,0.08532912,walking_downstairs
73,0.3491351,0.08063244,0.24917175,0.10049407,0.16602312,0.23139633,walking_downstairs
74,0.5109355,0.25157103,0.25162864,0.11809899,0.019266428,0.14597131,walking_downstairs
75,0.20447941,0.68950915,0.080724485,0.37400398,0.19742437,0.24530242,walking_downstairs
76,-0.21496308,0.49028417,-0.14593713,0.2702006,0.28871012,0.10770556,walking_downstairs
77,-0.46303502,0.96187836,-0.35425982,0.5450281,0.14529113,0.2329196,walking_downstairs
78,-0.37064397,0.45738265,-0.21275714,0.19522916,0.24539343,0.10312804,walking_downstairs
79,-0.77550083,0.66594094,-0.40220058,0.29995465,0.14771397,0.21850988,walking_downstairs
